disease,year,month,date,time,count,log_count,covid,post,fitted,fitted_count,counterfactual,counterfactual_count
Influenza (laboratory confirmed),2023,4,2023-04-01,100,13331,9.497922439427631,1,1,7.863055006354403,2598.4495923641207,7.143243481132679,1264.526450678585
Influenza (laboratory confirmed),2023,5,2023-05-01,101,25052,10.12874885982134,1,1,8.301425736467905,4028.6134670926417,7.488056606457893,1785.5766942947394
Influenza (laboratory confirmed),2023,6,2023-06-01,102,77741,11.261150930856866,1,1,8.862987012654994,7064.556161283962,7.956060277856691,2851.811498940542
Influenza (laboratory confirmed),2023,7,2023-07-01,103,53171,10.88128722098749,1,1,9.309765218329034,11044.35457752572,8.30928087874244,4060.391300489798
Influenza (laboratory confirmed),2023,8,2023-08-01,104,32501,10.389056904885955,1,1,9.370041634385478,11730.603515408193,8.275999690010597,3927.447898200663
Influenza (laboratory confirmed),2023,9,2023-09-01,105,24938,10.124188122199199,1,1,8.985332554143731,7984.099761177711,7.797733004980559,2434.0754118122463
Influenza (laboratory confirmed),2023,10,2023-10-01,106,12724,9.451323841418724,1,1,8.390561078889222,4404.288715447117,7.109403924937759,1222.4180796969704
Influenza (laboratory confirmed),2023,11,2023-11-01,107,13099,9.480367509189243,1,1,7.941437492577841,2810.3989701286346,6.56672273383809,710.0357670683843
Influenza (laboratory confirmed),2023,12,2023-12-01,108,17640,9.777981017296407,1,1,7.844973674921159,2551.8704581428665,6.376701311393118,586.9849259279849
Influenza (laboratory confirmed),2024,1,2024-01-01,109,8614,9.06126014896203,1,1,8.039513301827391,3100.1035215641537,6.4776833335110595,649.4622952235827
Influenza (laboratory confirmed),2024,2,2024-02-01,110,7972,8.983816112502495,1,1,8.320924777672804,4107.958124529003,6.665537204568181,783.8849955518726
Influenza (laboratory confirmed),2024,3,2024-03-01,111,13784,9.531336323457896,1,1,8.57147143508813,5277.89162463883,6.822526257195218,917.3019491633719
Influenza (laboratory confirmed),2024,4,2024-04-01,112,12443,9.428993858017527,1,1,8.855860113466356,7014.379668596427,7.013357330785151,1110.3795170193237
Influenza (laboratory confirmed),2024,5,2024-05-01,113,31202,10.348269523021242,1,1,9.294230843579856,10874.097740839034,7.358170456110366,1567.9634480248062
Influenza (laboratory confirmed),2024,6,2024-06-01,114,71692,11.180148392811926,1,1,9.855792119766944,19067.482492140727,7.826174127509164,2504.3259567507553
Influenza (laboratory confirmed),2024,7,2024-07-01,115,96875,11.481187089183015,1,1,10.302570325440984,29808.139659115222,8.179394728394913,3565.6951880338256
Influenza (laboratory confirmed),2024,8,2024-08-01,116,83372,11.33107979492421,1,1,10.36284674149743,31660.184361408625,8.14611353966307,3448.944902689904
Influenza (laboratory confirmed),2024,9,2024-09-01,117,18889,9.846387960495555,1,1,9.978137661255682,21549.141491812123,7.667846854633032,2137.472043499676
Influenza (laboratory confirmed),2024,10,2024-10-01,118,6924,8.842893331055539,1,1,9.383366186001172,11887.967948994903,6.9795177745902315,1073.4001390071742
Influenza (laboratory confirmed),2024,11,2024-11-01,119,7118,8.870522545103873,1,1,8.934242599689796,7586.387435128485,6.436836583490564,623.4283451872526
Influenza (laboratory confirmed),2024,12,2024-12-01,120,6037,8.705828110266784,1,1,8.837778782033112,6888.6721679945695,6.246815161045591,515.365661612279
Meningococcal disease (invasive),2015,1,2015-01-01,1,8,2.1972245773362196,0,0,2.67503684953519,13.512884622790216,2.67503684953519,13.512884622790216
Meningococcal disease (invasive),2015,2,2015-02-01,2,6,1.9459101490553132,0,0,2.598734895810272,12.446715773341811,2.598734895810272,12.446715773341811
Meningococcal disease (invasive),2015,3,2015-03-01,3,12,2.5649493574615367,0,0,2.636709686797276,12.967171550362885,2.636709686797276,12.967171550362885
Meningococcal disease (invasive),2015,4,2015-04-01,4,15,2.772588722239781,0,0,2.776562209227864,15.063702268061846,2.776562209227864,15.063702268061846
Meningococcal disease (invasive),2015,5,2015-05-01,5,19,2.995732273553991,0,0,2.9531488867574636,18.16621103484256,2.9531488867574636,18.16621103484256
Meningococcal disease (invasive),2015,6,2015-06-01,6,13,2.6390573296152584,0,0,3.094515306563097,21.07653559202042,3.094515306563097,21.07653559202042
Meningococcal disease (invasive),2015,7,2015-07-01,7,18,2.9444389791664403,0,0,3.166622853360368,22.727218601535167,3.166622853360368,22.727218601535167
Meningococcal disease (invasive),2015,8,2015-08-01,8,28,3.367295829986474,0,0,3.179437278165372,23.033225725347542,3.179437278165372,23.033225725347542
Meningococcal disease (invasive),2015,9,2015-09-01,9,20,3.044522437723423,0,0,3.1557798254337386,22.47133349932823,3.1557798254337386,22.47133349932823
Meningococcal disease (invasive),2015,10,2015-10-01,10,21,3.091042453358316,0,0,3.0997657918292556,21.192752948647502,3.0997657918292556,21.192752948647502
Meningococcal disease (invasive),2015,11,2015-11-01,11,13,2.6390573296152584,0,0,2.9987338865212143,19.060122446361447,2.9987338865212143,19.060122446361447
Meningococcal disease (invasive),2015,12,2015-12-01,12,6,1.9459101490553132,0,0,2.855117371761854,16.376476595643485,2.855117371761854,16.376476595643485
Meningococcal disease (invasive),2016,1,2016-01-01,13,22,3.1354942159291497,0,0,2.7112385794401215,14.047901999337189,2.7112385794401215,14.047901999337189
Meningococcal disease (invasive),2016,2,2016-02-01,14,9,2.302585092994046,0,0,2.6349366257152034,12.942428843707486,2.6349366257152034,12.942428843707486
Meningococcal disease (invasive),2016,3,2016-03-01,15,14,2.70805020110221,0,0,2.6729114167022074,13.482071218821764,2.6729114167022074,13.482071218821764
Meningococcal disease (invasive),2016,4,2016-04-01,16,14,2.70805020110221,0,0,2.8127639391327954,15.655890524805375,2.8127639391327954,15.655890524805375
Meningococcal disease (invasive),2016,5,2016-05-01,17,16,2.833213344056216,0,0,2.989350616662395,18.872773252673767,2.989350616662395,18.872773252673767
Meningococcal disease (invasive),2016,6,2016-06-01,18,16,2.833213344056216,0,0,3.1307170364680283,21.89038690157612,3.1307170364680283,21.89038690157612
