disease,year,state,rate_per_100k
COVID-19,2008,AUS,NA
COVID-19,2007,ACT,0
COVID-19,2007,NSW,0
COVID-19,2007,NT,0
COVID-19,2007,QLD,0
COVID-19,2007,SA,0
COVID-19,2007,TAS,0
COVID-19,2007,VIC,0
COVID-19,2007,WA,0
COVID-19,2007,AUS,NA
COVID-19,2006,ACT,0
COVID-19,2006,NSW,0
COVID-19,2006,NT,0
COVID-19,2006,QLD,0
COVID-19,2006,SA,0
COVID-19,2006,TAS,0
COVID-19,2006,VIC,0
COVID-19,2006,WA,0
COVID-19,2006,AUS,NA
COVID-19,2005,ACT,0
COVID-19,2005,NSW,0
COVID-19,2005,NT,0
COVID-19,2005,QLD,0
COVID-19,2005,SA,0
COVID-19,2005,TAS,0
COVID-19,2005,VIC,0
COVID-19,2005,WA,0
COVID-19,2005,AUS,NA
COVID-19,2004,ACT,0
COVID-19,2004,NSW,0
COVID-19,2004,NT,0
COVID-19,2004,QLD,0
COVID-19,2004,SA,0
COVID-19,2004,TAS,0
COVID-19,2004,VIC,0
COVID-19,2004,WA,0
COVID-19,2004,AUS,NA
COVID-19,2003,ACT,0
COVID-19,2003,NSW,0
COVID-19,2003,NT,0
COVID-19,2003,QLD,0
COVID-19,2003,SA,0
COVID-19,2003,TAS,0
COVID-19,2003,VIC,0
COVID-19,2003,WA,0
COVID-19,2003,AUS,NA
COVID-19,2002,ACT,0
COVID-19,2002,NSW,0
COVID-19,2002,NT,0
COVID-19,2002,QLD,0
COVID-19,2002,SA,0
COVID-19,2002,TAS,0
COVID-19,2002,VIC,0
COVID-19,2002,WA,0
COVID-19,2002,AUS,NA
COVID-19,2001,ACT,0
COVID-19,2001,NSW,0
COVID-19,2001,NT,0
COVID-19,2001,QLD,0
COVID-19,2001,SA,0
COVID-19,2001,TAS,0
COVID-19,2001,VIC,0
COVID-19,2001,WA,0
COVID-19,2001,AUS,NA
COVID-19,2000,ACT,0
COVID-19,2000,NSW,0
COVID-19,2000,NT,0
COVID-19,2000,QLD,0
COVID-19,2000,SA,0
COVID-19,2000,TAS,0
COVID-19,2000,VIC,0
COVID-19,2000,WA,0
COVID-19,2000,AUS,NA
COVID-19,1999,ACT,0
COVID-19,1999,NSW,0
COVID-19,1999,NT,0
COVID-19,1999,QLD,0
COVID-19,1999,SA,0
COVID-19,1999,TAS,0
COVID-19,1999,VIC,0
COVID-19,1999,WA,0
COVID-19,1999,AUS,NA
COVID-19,1998,ACT,0
COVID-19,1998,NSW,0
COVID-19,1998,NT,0
COVID-19,1998,QLD,0
COVID-19,1998,SA,0
COVID-19,1998,TAS,0
COVID-19,1998,VIC,0
COVID-19,1998,WA,0
COVID-19,1998,AUS,NA
COVID-19,1997,ACT,0
COVID-19,1997,NSW,0
COVID-19,1997,NT,0
COVID-19,1997,QLD,0
COVID-19,1997,SA,0
COVID-19,1997,TAS,0
COVID-19,1997,VIC,0
COVID-19,1997,WA,0
COVID-19,1997,AUS,NA
COVID-19,1996,ACT,0
COVID-19,1996,NSW,0
COVID-19,1996,NT,0
COVID-19,1996,QLD,0
COVID-19,1996,SA,0
COVID-19,1996,TAS,0
COVID-19,1996,VIC,0
COVID-19,1996,WA,0
COVID-19,1996,AUS,NA
COVID-19,1995,ACT,0
COVID-19,1995,NSW,0
COVID-19,1995,NT,0
COVID-19,1995,QLD,0
COVID-19,1995,SA,0
COVID-19,1995,TAS,0
COVID-19,1995,VIC,0
COVID-19,1995,WA,0
