effect,term,estimate,std.error,statistic,conf.low,conf.high,effect_type,p.value,group,model_name,aic,bic,n_obs,n_groups
fixed,covid:transmission_modeblood_borne,-1.3062054706976531,1.1114371015991868,-1.1752401182381123,-3.484582160913644,0.8721712195183375,fixed,0.2398986641033796,NA,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
fixed,transmission_modeenteric:time_since_covid,0.28981435351034385,0.11819628553812705,2.4519751377200194,0.058153890749202436,0.5214748162714853,fixed,0.014207447804732133,NA,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
fixed,transmission_modevector_borne:time_since_covid,0.06396734058465722,0.14572216753402972,0.43896780885941233,-0.2216428595311529,0.3495775407004673,fixed,0.6606848618118433,NA,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
fixed,transmission_modezoonotic:time_since_covid,-0.028460193420969008,0.16881806273802927,-0.16858500186163933,-0.3593375163273296,0.30241712948539157,fixed,0.8661230784794294,NA,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
fixed,transmission_modeSTI:time_since_covid,-0.04885364536606256,0.1553730523261288,-0.3144280467858643,-0.3533792320933322,0.2556719413612071,fixed,0.7531959572664785,NA,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
fixed,transmission_modeblood_borne:time_since_covid,-0.0656970657307948,0.15537305232612883,-0.4228343637923539,-0.3702226524580645,0.2388285209964749,fixed,0.6724161138294764,NA,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
ran_pars,sd__(Intercept),0,NA,NA,NA,NA,random,NA,disease,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
ran_pars,cor__(Intercept).covid,NA,NA,NA,NA,NA,random,NA,disease,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
ran_pars,sd__covid,1.6833034386328947,NA,NA,NA,NA,random,NA,disease,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
ran_pars,sd__Observation,1.2351370454808335,NA,NA,NA,NA,random,NA,Residual,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
fixed,(Intercept),3.6979598413354304e-16,0.09163796753136387,4.035401418161934e-15,-0.17960711597792364,0.17960711597792436,fixed,0.9999999999999968,NA,border_sensitive,1751.3339705403787,1797.5841059286342,495,45
fixed,year_centered,0.05451880563667126,0.057956939509534164,0.9406777876478913,-0.05907470845618218,0.1681123197295247,fixed,0.3468700052821345,NA,border_sensitive,1751.3339705403787,1797.5841059286342,495,45
fixed,covid,-1.027070684068063,0.3900275305295663,-2.633328684961138,-1.791510596885109,-0.26263077125101686,fixed,0.008455247869142665,NA,border_sensitive,1751.3339705403787,1797.5841059286342,495,45
fixed,border_sensitiveTRUE,-8.978219807088425e-16,0.20490872472004826,-4.381570291530879e-15,-0.40161372056932765,0.40161372056932587,fixed,0.9999999999999966,NA,border_sensitive,1751.3339705403787,1797.5841059286342,495,45
