disease,year,month,date,time,count,log_count,gam_fitted_log,gam_fitted_count
Influenza (laboratory confirmed),2021,8,2021-08-01,80,43,3.784189633918261,9.182905237584018,9728.377907078377
Influenza (laboratory confirmed),2021,9,2021-09-01,81,63,4.1588830833596715,8.82230627070282,6782.892089337907
Influenza (laboratory confirmed),2021,10,2021-10-01,82,55,4.02535169073515,8.19073789473377,3606.3831336323287
Influenza (laboratory confirmed),2021,11,2021-11-01,83,62,4.143134726391533,7.7848254053993315,2402.846412731554
Influenza (laboratory confirmed),2021,12,2021-12-01,84,105,4.663439094112067,7.6899309752105545,2185.2236533927185
Influenza (laboratory confirmed),2022,1,2022-01-01,85,39,3.6888794541139363,7.696391100298927,2199.3926491307698
Influenza (laboratory confirmed),2022,2,2022-02-01,86,33,3.5263605246161616,7.780513242734494,2392.502953346092
Influenza (laboratory confirmed),2022,3,2022-03-01,87,324,5.783825182329737,8.045138522989527,3117.5970711330756
Influenza (laboratory confirmed),2022,4,2022-04-01,88,5725,8.65277248565806,8.232002775971825,3758.3553641167937
Influenza (laboratory confirmed),2022,5,2022-05-01,89,54194,10.90034393224985,8.571140247969913,5276.143613209697
Influenza (laboratory confirmed),2022,6,2022-06-01,90,111037,11.617627764051045,8.975345032531255,7904.7453413630465
Influenza (laboratory confirmed),2022,7,2022-07-01,91,44665,10.70696786478042,9.260767132403597,10516.19833023153
Influenza (laboratory confirmed),2022,8,2022-08-01,92,6573,8.790877754224164,9.260426739077975,10512.618955347893
Influenza (laboratory confirmed),2022,9,2022-09-01,93,2710,7.905072849498666,8.899827772656442,7329.710881565509
Influenza (laboratory confirmed),2022,10,2022-10-01,94,1528,7.332369205929062,8.26825939710744,3897.157938621246
Influenza (laboratory confirmed),2022,11,2022-11-01,95,1892,7.545918151209323,7.862346908155235,2596.6095783211367
Influenza (laboratory confirmed),2022,12,2022-12-01,96,4648,8.444407421690585,7.767452478313907,2361.4452353947004
Influenza (laboratory confirmed),2023,1,2023-01-01,97,3653,8.203577736937952,7.773912603718659,2376.7563304257965
Influenza (laboratory confirmed),2023,2,2023-02-01,98,4287,8.363575702750637,7.858034746443419,2585.4323820139825
Influenza (laboratory confirmed),2023,3,2023-03-01,99,10725,9.280425979542871,8.122660026964082,3368.9730522993063
