disease_group,disease,year,count
Gastrointestinal diseases,Botulism,1992,0
Gastrointestinal diseases,Botulism,1991,0
Gastrointestinal diseases,Campylobacteriosis,2026,4413
Gastrointestinal diseases,Campylobacteriosis,2025,40222
Gastrointestinal diseases,Campylobacteriosis,2024,39226
Gastrointestinal diseases,Campylobacteriosis,2023,41637
Gastrointestinal diseases,Campylobacteriosis,2022,42245
Gastrointestinal diseases,Campylobacteriosis,2021,39424
Gastrointestinal diseases,Campylobacteriosis,2020,33542
Gastrointestinal diseases,Campylobacteriosis,2019,37047
Gastrointestinal diseases,Campylobacteriosis,2018,33149
Gastrointestinal diseases,Campylobacteriosis,2017,28698
Gastrointestinal diseases,Campylobacteriosis,2016,24161
Gastrointestinal diseases,Campylobacteriosis,2015,22547
Gastrointestinal diseases,Campylobacteriosis,2014,19933
Gastrointestinal diseases,Campylobacteriosis,2013,14685
Gastrointestinal diseases,Campylobacteriosis,2012,15696
Gastrointestinal diseases,Campylobacteriosis,2011,17720
Gastrointestinal diseases,Campylobacteriosis,2010,16991
Gastrointestinal diseases,Campylobacteriosis,2009,16102
Gastrointestinal diseases,Campylobacteriosis,2008,15563
Gastrointestinal diseases,Campylobacteriosis,2007,16989
Gastrointestinal diseases,Campylobacteriosis,2006,15411
Gastrointestinal diseases,Campylobacteriosis,2005,16206
Gastrointestinal diseases,Campylobacteriosis,2004,15520
Gastrointestinal diseases,Campylobacteriosis,2003,15191
Gastrointestinal diseases,Campylobacteriosis,2002,15253
Gastrointestinal diseases,Campylobacteriosis,2001,15747
Gastrointestinal diseases,Campylobacteriosis,2000,13933
Gastrointestinal diseases,Campylobacteriosis,1999,12349
Gastrointestinal diseases,Campylobacteriosis,1998,12765
Gastrointestinal diseases,Campylobacteriosis,1997,12036
Gastrointestinal diseases,Campylobacteriosis,1996,12163
Gastrointestinal diseases,Campylobacteriosis,1995,11096
Gastrointestinal diseases,Campylobacteriosis,1994,10166
Gastrointestinal diseases,Campylobacteriosis,1993,8270
Gastrointestinal diseases,Campylobacteriosis,1992,9272
Gastrointestinal diseases,Campylobacteriosis,1991,9001
Gastrointestinal diseases,Cholera,2026,0
Gastrointestinal diseases,Cholera,2025,3
Gastrointestinal diseases,Cholera,2024,4
Gastrointestinal diseases,Cholera,2023,3
Gastrointestinal diseases,Cholera,2022,3
Gastrointestinal diseases,Cholera,2021,1
Gastrointestinal diseases,Cholera,2020,0
Gastrointestinal diseases,Cholera,2019,2
Gastrointestinal diseases,Cholera,2018,0
Gastrointestinal diseases,Cholera,2017,2
Gastrointestinal diseases,Cholera,2016,1
Gastrointestinal diseases,Cholera,2015,2
Gastrointestinal diseases,Cholera,2014,2
Gastrointestinal diseases,Cholera,2013,3
Gastrointestinal diseases,Cholera,2012,5
Gastrointestinal diseases,Cholera,2011,6
Gastrointestinal diseases,Cholera,2010,3
Gastrointestinal diseases,Cholera,2009,4
Gastrointestinal diseases,Cholera,2008,4
Gastrointestinal diseases,Cholera,2007,3
Gastrointestinal diseases,Cholera,2006,3
Gastrointestinal diseases,Cholera,2005,3
Gastrointestinal diseases,Cholera,2004,5
Gastrointestinal diseases,Cholera,2003,1
Gastrointestinal diseases,Cholera,2002,5
Gastrointestinal diseases,Cholera,2001,3
Gastrointestinal diseases,Cholera,2000,2
Gastrointestinal diseases,Cholera,1999,3
Gastrointestinal diseases,Cholera,1998,3
Gastrointestinal diseases,Cholera,1997,1
Gastrointestinal diseases,Cholera,1996,5
Gastrointestinal diseases,Cholera,1995,6
Gastrointestinal diseases,Cholera,1994,3
Gastrointestinal diseases,Cholera,1993,6
Gastrointestinal diseases,Cholera,1992,4
Gastrointestinal diseases,Cholera,1991,1
Gastrointestinal diseases,Cryptosporidiosis,2026,313
Gastrointestinal diseases,Cryptosporidiosis,2025,4868
Gastrointestinal diseases,Cryptosporidiosis,2024,14029
Gastrointestinal diseases,Cryptosporidiosis,2023,3719
Gastrointestinal diseases,Cryptosporidiosis,2022,2047
Gastrointestinal diseases,Cryptosporidiosis,2021,1844
Gastrointestinal diseases,Cryptosporidiosis,2020,2437
Gastrointestinal diseases,Cryptosporidiosis,2019,2679
Gastrointestinal diseases,Cryptosporidiosis,2018,3011
Gastrointestinal diseases,Cryptosporidiosis,2017,4694
Gastrointestinal diseases,Cryptosporidiosis,2016,5421
Gastrointestinal diseases,Cryptosporidiosis,2015,4063
Gastrointestinal diseases,Cryptosporidiosis,2014,2407
Gastrointestinal diseases,Cryptosporidiosis,2013,3852
Gastrointestinal diseases,Cryptosporidiosis,2012,3144
Gastrointestinal diseases,Cryptosporidiosis,2011,1807
Gastrointestinal diseases,Cryptosporidiosis,2010,1481
Gastrointestinal diseases,Cryptosporidiosis,2009,4622
Gastrointestinal diseases,Cryptosporidiosis,2008,2003
Gastrointestinal diseases,Cryptosporidiosis,2007,2809
Gastrointestinal diseases,Cryptosporidiosis,2006,3200
Gastrointestinal diseases,Cryptosporidiosis,2005,3184
Gastrointestinal diseases,Cryptosporidiosis,2004,1686
Gastrointestinal diseases,Cryptosporidiosis,2003,1140
Gastrointestinal diseases,Cryptosporidiosis,2002,3362
Gastrointestinal diseases,Cryptosporidiosis,2001,1567
Gastrointestinal diseases,Cryptosporidiosis,2000,0
Gastrointestinal diseases,Cryptosporidiosis,1999,0
Gastrointestinal diseases,Cryptosporidiosis,1998,0
Gastrointestinal diseases,Cryptosporidiosis,1997,0
Gastrointestinal diseases,Cryptosporidiosis,1996,0
Gastrointestinal diseases,Cryptosporidiosis,1995,0
Gastrointestinal diseases,Cryptosporidiosis,1994,0
Gastrointestinal diseases,Cryptosporidiosis,1993,0
Gastrointestinal diseases,Cryptosporidiosis,1992,0
Gastrointestinal diseases,Cryptosporidiosis,1991,0
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2026,0
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2025,15
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2024,11
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2023,19
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2022,14
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2021,7
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2020,14
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2019,19
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2018,13
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2017,14
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2016,16
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2015,18
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2014,21
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2013,15
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2012,20
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2011,13
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2010,9
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2009,13
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2008,32
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2007,19
Gastrointestinal diseases,Haemolytic uraemic syndrome (HUS),2006,14
